Sevilla,Malaga,1
Sociedad,La Coruna,0
Villarreal,Betis,0
Barcelona,Ath Bilbao,1
Getafe,Espanol,1
Las Palmas,Ath Madrid,-1
Real Madrid,Sp Gijon,1
Valencia,Vallecano,0
Eibar,Granada,1
Sp Gijon,Sociedad,1
Espanol,Villarreal,0
Granada,Getafe,1
Malaga,Barcelona,-1
Vallecano,Celta,1
Ath Bilbao,Eibar,1
Ath Madrid,Sevilla,0
Betis,Real Madrid,0
La Coruna,Valencia,0
Levante,Las Palmas,1
Barcelona,Ath Madrid,1
Eibar,Malaga,-1
Getafe,Ath Bilbao,-1
Sociedad,Betis,1
Villarreal,Granada,1
Las Palmas,Celta,1
Sevilla,Levante,1
Valencia,Sp Gijon,-1
Real Madrid,Espanol,1
La Coruna,Vallecano,0
Malaga,Getafe,1
Ath Bilbao,Villarreal,0
Ath Madrid,Eibar,1
Sp Gijon,La Coruna,0
Vallecano,Las Palmas,1
Betis,Valencia,1
Celta,Sevilla,0
Levante,Barcelona,-1
Granada,Real Madrid,-1
Espanol,Sociedad,-1
Sp Gijon,Vallecano,0
La Coruna,Betis,0
Real Madrid,Ath Bilbao,1
Valencia,Espanol,1
Villarreal,Malaga,1
Eibar,Levante,1
Getafe,Ath Madrid,-1
Sevilla,Las Palmas,1
Sociedad,Granada,1
Barcelona,Celta,1
Sp Gijon,Barcelona,-1
Levante,Getafe,1
Betis,Sp Gijon,0
Celta,Eibar,1
Espanol,La Coruna,1
Las Palmas,Barcelona,-1
Ath Bilbao,Sociedad,-1
Granada,Valencia,-1
Malaga,Real Madrid,0
Vallecano,Sevilla,0
Ath Madrid,Villarreal,0
Eibar,Las Palmas,-1
Betis,Vallecano,0
Getafe,Celta,-1
Real Madrid,Ath Madrid,-1
Sociedad,Malaga,0
Sp Gijon,Espanol,-1
La Coruna,Granada,-1
Valencia,Ath Bilbao,-1
Villarreal,Levante,1
Barcelona,Sevilla,1
Ath Madrid,Sociedad,1
Las Palmas,Getafe,1
Ath Bilbao,La Coruna,1
Celta,Villarreal,0
Levante,Real Madrid,-1
Malaga,Valencia,-1
Sevilla,Eibar,1
Espanol,Betis,-1
Granada,Sp Gijon,1
Vallecano,Barcelona,-1
Getafe,Sevilla,0
La Coruna,Malaga,0
Real Madrid,Celta,1
Villarreal,Las Palmas,-1
Betis,Granada,1
Eibar,Barcelona,-1
Sociedad,Levante,0
Sp Gijon,Ath Bilbao,-1
Valencia,Ath Madrid,-1
Espanol,Vallecano,1
Malaga,Sp Gijon,1
Ath Madrid,La Coruna,1
Barcelona,Getafe,1
Celta,Sociedad,1
Vallecano,Eibar,0
Ath Bilbao,Betis,1
Levante,Valencia,1
Sevilla,Villarreal,1
Las Palmas,Real Madrid,-1
Granada,Espanol,0
Getafe,Eibar,0
Betis,Malaga,-1
Granada,Vallecano,0
La Coruna,Levante,1
Sociedad,Las Palmas,-1
Sp Gijon,Ath Madrid,1
